seller_id,seller_state,receita
81a1104df0f08b59c68aa5b03cfe398e,PR,11235.27
ea566164622c6b439516ab18062c42cd,SP,11167.98
e5a3438891c0bfdb9394643f95273d8e,SP,11073.47
1c5e4e49b9079480255b49d50aac1aa9,SP,11062.72
066a6914e1ebf3ea95a216c73a986b91,PR,11024.67
0db783cfcd3b73998abc6e10e59a102f,SP,10974.45
06532f10282704ef4c69168b914b77be,PR,10918.74
7008613ea464bad5cb9b83456e1e6a8f,SC,10804.45
18a349e75d307f4b4cc646a691ed4216,SP,10802.22
054694fa03fe82cec4b7551487331d74,SP,10703.75
624f4ece8da4aafb77699233d480f8ef,SP,10689.92
5882820ef11c4c068eea0677a7a879b4,RS,10664.81
b92e3c8f9738272ff7c59e111e108d7c,MG,10645.3
7b07b3c7487f0ea825fc6df75abd658b,SP,10641.050000000001
cb8bcce248bb1fb274ba762d8b971456,MG,10635.02
9596c870880d900012f2e8e6e30d06d7,MG,10615.33
17306570e772e7718c92a562d33f5f1d,SP,10600.63
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,10574.25
7b1222c3624aa89b9558b50a2594188c,SP,10561.09
048c2757535328e0d7dac690ad3c0aae,SP,10551.06
f27e33c6d29b5138fa9967bcd445b6d5,SP,10482.25
36a968b544695394e4e9d7572688598f,SP,10467.4
0bae85eb84b9fb3bd773911e89288d54,SP,10406.4
b2ac621f0d0322434d04a12b078b9369,PR,10356.89
e96498ed8daaa3e9c23f7a62da76591c,SP,10332.19
febab0275244b9a49a623f0bd613ca2f,SP,10289.17
8e8a7ce9f2f970dc00e2acf6f6e199f6,RJ,10284.82
b1a81260566c1bac3114a6d124413f27,RS,10250.2
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,10240.59
d98eec89afa3380e14463da2aabaea72,RS,10225.31
b1fc4f64df5a0e8b6913ab38803c57a9,RJ,10140.99
3c487ae8f8d7542beff5788e2e0aea83,DF,10105.35
5b8154610ebb21fb90eb587365e673df,SP,10096.720000000001
05feb94f19d094d4b0f9281f0b1d4c99,SP,10050.04
640e21a7d01df7614a3b4923e990d40c,SP,10045.12
e7df4cd29ab5abab70fb0783ddb53987,SP,10022.07
5f2684dab12e59f83bef73ae57724e45,SP,9980.720000000001
7a241947449cc45dbfda4f9d0798d9d0,MG,9933.45
6d803cb79cc31c41c4c789a75933b3c7,SP,9925.07
270297ead4c65a6cd2593960d2af6b21,SP,9881.76
2dee2ce60de9709b1a24083217181a1f,MT,9844.56
a00824eb9093d40e589b940ec45c4eb0,SP,9779.46
ebd2d60905fb58271facef5596b620d3,SP,9675.02
4371b634e0efc0e22b09b52907d9d469,SP,9645.01
6c12e40690c335dbc2f68a4134d30dc1,PR,9624.26
7d456afc660226829370f3173d14520c,SP,9607.18
06df0c10d34e459d9672bc77388742eb,PR,9595.77
db2956745b3a8e9f3785c99f34b5d25e,SP,9574.27
